id,tweets
1045219165072740352,“Using #BigData to identify tuberculosis hotspots in India” https://t.co/HHj3XMQMAK
1045219164418277377,RT @HinduDndEqlity: Spreading hatred is one of the most favourite pastimes of Christian Evangelists like Lazarus. All to mislead the innoce…
1045219163671867392,"RT @mubasherlucman: It seems that we have successfully managed to avoid being beaten by India for the third time and have, very smartly, pa…"
1045219163642388480,"RT @ZeeNewsHindi: #RafaleDeal पर बोले शरद पवार , 'पीएम @narendramodi की नीयत पर कोई शक नहीं'

https://t.co/dc2eWmWjXJ"
1045219163290001409,Aadhaar: India top court upholds world's largest biometric scheme https://t.co/IwsFWPdwFB
